"","Kod","Nazwa","dochody_dzialalnosc_gosp_wzrost_2016","dochody_dzialalnosc_gosp_wzrost_2017","dochody_majatek_wzrost_2016","dochody_majatek_wzrost_2016.1","dochody_najm_dzierzawa_wzrost_2016","dochody_najm_dzierzawa_wzrost_2017","dochody_nieruchomosci_wzrost_2016","dochody_nieruchomosci_wzrost_2017","dochody_podatek_lesny_wzrost_2016","dochody_podatek_lesny_wzrost_2017","dochody_podatek_rolny_wzrost_2016","dochody_podatek_rolny_wzrost_2017","dochody_srodki_transportowe_wzrost_2016","dochody_srodki_transportowe_wzrost_2017","dochody_total_wzrost_2016","dochody_total_wzrost_2017","dochody_uslugi_wzrost_2016","dochody_uslugi_wzrost_2017","ludnosc_przed_prod_wzrost_2016","ludnosc_przed_prod_wzrost_2017","ludnosc_prod_wzrost_2016","ludnosc_prod_wzrost_2017","ludnosc_prod_mobil_wzrost_2016","ludnosc_prod_mobil_wzrost_2017","ludnosc_prod_niemobil_wzrost_2016","ludnosc_prod_niemobil_wzrost_2017","ludnosc_po_prod_wzrost_2016","ludnosc_po_prod_wzrost_2017"
"1",201011,"Bolesławiec (1)",0.197345486502911,-0.148695107344066,-0.232145627612545,-0.232145627612545,0.132474662825044,-0.0245823650901351,0.0209791173119644,0.00668600593244211,0.50289270952476,0.00587360869229662,-0.0872689107760919,-0.333242670034161,-0.0882143044262211,0.0398326600244557,-0.0120747678111257,0.039021459207031,0.292550290434232,0.103712653108922,-0.00572175903220533,0.00575468595856626,-0.0227509914422876,-0.0193079880392994,-0.0162646073942459,-0.0128516846127127,-0.0329328470285346,-0.0296173044925125,0.0402107300290291,0.0345219638242894
"2",201022,"Bolesławiec (2)",0.242049682705288,0.040214942139763,-0.116493252769565,-0.116493252769565,0.00230032481768687,0.417628333057161,-0.0561973304587987,0.625592770839619,0.272066830404337,-0.00673116034716811,-0.0813953488372093,0.0784810126582278,0.165712967105979,0.0398102871743619,-0.0622449096830156,0.264009985720769,0.543159374942397,-0.931668510813421,-0.00036941263391208,0.0114560236511456,-0.000534073915829951,0.00320615581917281,-0.00205726041488085,0.00154612609517265,0.00198356474922074,0.00593891402714932,0.055036855036855,0.055891942244993
"3",201032,"Gromadka (2)",-0.104695166878302,0.0556814321684591,5.4675571903171,5.4675571903171,0.0282791007463351,0.072290497027512,-0.0470195126298913,0.0156749020740813,0.163266552151491,-0.000541795525661704,-0.118592029235029,-0.0456767674641768,0.0895810368138468,-0.00869040446045671,0.205546486531538,0.106683627494367,-0.359616729385642,0.274868041669423,-0.0147991543340381,-0.0311158798283262,-0.00963445735335789,-0.0197424892703863,-0.00970873786407767,-0.0227272727272727,-0.00950118764845606,-0.0143884892086331,0.0280373831775701,0.0262626262626263
"4",201043,"Nowogrodziec (3)",0.496915803276266,-0.130603037911174,-0.305081113907291,-0.305081113907291,0.228349233659163,0.0803864838960953,1.63561210752496,-0.0157310564504562,0.345654013457421,0.0119688957757765,-0.0526558234017127,-0.0178571514209709,-0.0967785215336765,-0.0693445916220601,0.584212095732875,0.0838271735706718,1.43333333333333,-0.164383561643836,-0.00532623169107856,-0.00836680053547523,-0.00512923664889872,-0.0089971694298423,-0.000792393026941363,-0.00888183980967486,-0.0126617120836774,-0.00919988848620017,0.0415595544130248,0.0382558617852735
"5",201052,"Osiecznica (2)",39,-1.53333333333333,-0.0282336307533258,-0.0282336307533258,-0.129746065635752,-0.270660557491163,-0.0957006041019131,0.0291636965384524,0.400980401291463,-0.00550281609457084,-0.0768965779149635,0.323967662525503,-0.0620001249511267,-0.072191420613602,0.0209927911765067,0.0294650109553049,0.0609993105526355,-0.0296359962911395,-0.0149906308557152,-0.0120481927710843,-0.00331743727970143,-0.0180986061992927,-0.0136404971203395,-0.034419176398279,0.0190288713910761,0.0160978750804894,0.0300187617260788,0.0200364298724954
"6",201062,"Warta Bolesławiecka (2)",-0.0975508337862436,0.0987402000333942,-0.687051198564045,-0.687051198564045,-0.240179422288404,0.0340722144001899,-0.0482641450365559,-0.0730489637184592,0.231350346207411,-0.00921582875553692,0.0139143840652962,-0.074678937982935,-0.093139016229494,-0.0122901592457369,-0.00702866302464299,-0.00524708419870861,-0.189793095146792,0.0918289062997994,0.013142174432497,0.00471698113207547,-0.000544761213001634,-0.00218023255813953,-0.000576701268742791,-0.00144258511252164,-0.000490436488474743,-0.00343473994111874,0.0457957957957958,0.0545585068198134
"7",202011,"Bielawa (1)",0.333015388575863,-0.464495617976399,0.246095950408785,0.246095950408785,0.0447715806032641,-0.0291258426986123,0.000570604551415609,0.049545853849893,0.925716972261401,0.00628662109375,-0.132768401217749,-0.0151276804871853,-0.0891949804360141,0.304193545078815,0.0820166828267534,0.0352466082145626,-0.00728599812619004,-0.0432168923917812,-0.0181015452538631,0.00247302158273381,-0.021796218487395,-0.0204563758389262,-0.0149737302977233,-0.0177793581651702,-0.0320209973753281,-0.0245390455531453,0.0285230160971477,0.0302031850631521
"8",202021,"Dzierżoniów (1)",0.292325929661382,-0.166824537064239,0.6453177573615,0.6453177573615,0.0111034031780054,0.0308075398470339,0.0748127354816933,0.0389019351730909,NA,NA,-0.161931738614412,-0.0245520498645686,-0.354973908404479,0.0661394913808841,0.123816141144313,0.000498289792711645,0.104146951969555,-0.0164703385387006,-0.0047952047952048,-0.00200762899016262,-0.019588781412531,-0.0154685176003966,-0.0170034499753573,-0.0119495278683045,-0.0233361114418383,-0.0206022187004754,0.0317877629063098,0.0220060227009497
"9",202031,"Pieszyce (1)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10",202033,"Pieszyce (3)",NA,0.460968182027214,NA,NA,NA,-0.0807289377270323,NA,0.0325974086796007,NA,0.0135974519327429,NA,0.00623642642010248,NA,0.106097370434717,NA,0.00635727610109781,NA,-0.0367043541264125,NA,-0.014607425441266,NA,-0.0194610778443114,NA,-0.0188579017264276,NA,-0.0204717400979083,NA,0.0293225480283114
