"","Nazwa","dochody 2002","dochody 2003","dochody 2004","dochody 2005","dochody 2006","dochody 2007","dochody 2008","dochody 2009","dochody 2010","dochody 2011","dochody 2012","dochody 2013","dochody 2014","dochody 2015","dochody 2016","dochody 2017","dochody 2018","dochody 2019"
"372","Mircze (2)",334,347,388,397,429.37,498.67,563.38,629.08,762.32,680.48,924.69,937.91,1011.88,1060.99,1587.16,1082.44,1153.05,1205.28
"373","Trzeszczany (2)",335,358,368,443,476.72,468.85,558.77,482.09,497.06,631.14,701.95,838.54,847.82,848.41,864.97,892.33,958.28,1036.31
"374","Uchanie (2)",333,343,399,469,448.62,485.29,478.6,568.12,601.36,553.29,712.23,722.02,780.27,824.87,841.62,849.96,877.41,1105
"375","Werbkowice (2)",430,480,542,541,623.54,674.14,715.96,724.41,763.98,987.43,1059.84,1133.59,1110.19,1061.41,1169.77,1294.86,1486.79,1420.78
"376","Batorz (2)",323,469,410,427,454,538.38,692.22,532.74,644.37,563.04,620.6,661.61,777.21,872.87,846.92,934.43,924.85,1189.31
"377","Chrzanów (2)",193,238,243,242,265.79,294.23,362.26,347.69,460.98,377.24,436.64,446.82,527.61,750.2,620.73,630.89,692.29,713.87
"378","Dzwola (2)",145,173,181,189,208.8,238.76,341,277.01,398.42,424.38,417.24,474.69,597.54,644.18,651.04,800.82,880.12,814.73
"379","Godziszów (2)",153,175,210,217,247.77,365.45,360.46,341.37,338.88,344.54,408.24,548.01,666.29,701.96,608.75,797.46,813.18,924.7
"380","Janów Lubelski (3)",418,472,562,635,712.26,850.79,1547.21,858.91,1020.69,920.8,1001.07,1089.29,1303.67,1537.07,1468.67,1525.38,1692.96,1754.42
"383","Potok Wielki (2)",274,304,314,367,412.54,449.38,593.87,464.09,484.08,507.72,565.56,640.83,734.78,943.27,838.67,840.15,1136.18,1354.95
"384","Krasnystaw (1)",680,735,865,916,934.52,1160.03,2176.53,1181.54,1200.24,1326.17,1339.52,1453.13,1511.31,1706.19,1629.61,1697.15,1739.3,2055.51
"385","Fajsławice (2)",393,349,473,435,470.3,502.27,572.8,521.01,630.72,700.03,761.61,855.53,908.86,974.38,1018.95,1178.67,1180.11,1363.62
"386","Gorzków (2)",345,329,404,415,433.3,471.42,751.4,523.65,525.73,594.21,654.16,826.92,955.95,826.61,873.3,991.9,1070.14,1153.83
"387","Izbica (2)",279,258,279,334,382.15,351.81,435.36,455.07,666.17,1103.84,553.92,611.72,642.18,656.09,680.67,822.3,939.5,897.22
"388","Krasnystaw (2)",617,674,729,810,868.58,1299.13,1030.55,1004.93,1069.78,1361.08,1393.06,1455.85,1506.04,1428.32,1446.95,1562.54,1660.1,1822.5
"389","Kraśniczyn (2)",310,373,407,468,979.08,571.33,600.82,604.51,604.38,767.08,726.14,904.4,928.53,875.95,1075.29,1102.61,1294.66,1502.83
"390","Łopiennik Górny (2)",357,377,477,441,469.53,508.25,578.57,541.71,530.25,615.72,662.67,778.04,841.62,884.97,899.56,936.45,1070.05,1487.49
"392","Rudnik (2)",287,284,372,378,416.05,471.55,546.67,594.9,640.3,555.44,699.51,721.6,765.36,771.56,862.05,831.15,908.07,1113.37
"393","Siennica Różana (2)",587,500,500,471,491.62,595.25,1073.12,718.59,738.26,722.32,844.14,869.33,1023.68,1029.9,1072.15,1151.84,1140.82,1373.02
"394","Żółkiewka (2)",352,359,402,424,437.58,450.8,493.98,534.44,545.45,532.5,686.58,654.17,723.79,759.97,788.66,845.26,1129.42,1190.11
"395","Kraśnik (1)",586,599,717,756,763.1,1097.59,1089.19,989.08,1077.93,1070.7,1123.53,1266.19,1325.45,1344.65,1502.14,1650.93,1751.6,1745.81
"396","Annopol (3)",270,291,322,357,374.19,416.66,497.25,493.27,513.57,607.73,638.66,695.27,720.18,1230.84,1189.83,1033.54,1116.8,1156.43
"397","Dzierzkowice (2)",254,254,315,345,356.15,421.73,499.13,527.1,567.7,485.12,517.54,548.25,614.24,745.69,737.41,874.22,892.59,1129.64
"398","Gościeradów (2)",216,239,255,280,307.99,449.28,473.6,365.92,605.39,395.71,484.09,509.77,575.58,596.67,746.06,836.52,1365.53,1382.29
"399","Kraśnik (2)",298,309,345,390,521.83,579.38,654.56,662.37,753.91,1512.15,739.16,896.98,993.3,955.26,983.77,1143.44,1239.5,1338.36
"400","Szastarka (2)",201,243,280,287,274.64,311.91,341.42,343.78,369.12,487.78,418.57,540.22,749.74,875.94,672.59,755.59,734.64,845.86
"401","Trzydnik Duży (2)",281,361,346,354,385.99,426.5,434.88,492.32,511.08,462.83,469.6,583.8,583.66,630.9,662.13,729.6,806.61,1125.6
"404","Wilkołaz (2)",242,253,291,323,349.65,405.22,507.46,871.37,829.48,516.24,633.68,632.38,839.29,908.5,807.8,786.66,1110.21,1744.69
"405","Zakrzówek (2)",253,279,321,341,368.95,441.35,425.78,399.26,414.57,555.63,532,628.3,744.88,787.98,785.25,826.14,963.7,1024.96
"406","Lubartów (1)",623,671,777,799,886.23,1076.19,1165.15,1119.84,1111.95,1611.2,1337.48,1555.26,1596.75,2118.09,1694.73,1856.86,1835.57,2106.44
"407","Abramów (2)",273,306,324,316,358.98,384.02,425.64,489.18,453.46,444.37,530.82,793.94,741.07,824.54,862.87,974.23,1077.77,1034.99
"408","Firlej (2)",381,378,418,398,426.94,473.37,528.3,597.12,722.74,658.68,769.78,772.17,877.01,900.21,927.82,1321.4,1082.24,1368.58
"409","Jeziorzany (2)",306,298,323,340,413.32,454.81,569.4,625.31,1171.56,978.52,677.31,720.53,882.54,954.48,803.55,935.58,989.77,1289.7
"410","Kamionka (2)",326,347,415,366,399.62,441.92,473.9,479.76,613.88,552.28,652.8,842.61,903.39,928.62,893.06,970.25,1236.39,1519.15
"411","Kock (3)",283,301,332,331,370,409.78,595.12,511,694.52,558.42,667.82,815.27,831.14,845.48,875.75,923.36,1032.35,1186.78
"412","Lubartów (2)",430,442,496,525,604.54,1185.32,762.02,749.1,1688.1,1559.88,1336.09,1208.35,1263.87,1323.54,1261.73,1353.85,1580.38,1665.34
"413","Michów (2)",326,321,365,365,383.71,457.47,511.93,506.61,553.52,556.06,959.64,716.51,858.83,1094.27,1157.69,1689.3,1185,1340.98
"414","Niedźwiada (2)",203,228,211,215,244.16,290.24,356.11,276.76,311.6,455.76,563.93,594.62,575.62,684.42,655.51,708.33,917.31,983.67
"415","Ostrów Lubelski (3)",349,387,354,452,418.48,482.19,628.78,530.59,766.73,555.28,595.63,695.92,794.15,914.31,760.36,787.29,912.81,1190.38
"416","Ostrówek (2)",215,225,241,252,289.13,340.02,1034.11,368.84,522.22,634.63,467.91,488.86,506.06,701.28,598.69,618.75,814.51,772.92
"417","Serniki (2)",270,255,269,288,338.51,346.4,398.98,438.62,466,503.59,520.81,569.9,579.56,633.93,738.89,828,742.41,802.02
"418","Uścimów (2)",451,477,535,652,619.93,624.91,767.09,731.25,710.07,951.24,919.38,1036.32,1397.61,1297.25,1272.1,1389.92,1428.52,1829.98
"419","Bełżyce (3)",326,381,388,422,484.6,514.69,530.04,553.61,664.16,820.17,894.67,959.48,1199.8,1114.69,1364.53,1261.63,1394.47,1453.56
"420","Borzechów (2)",225,236,260,257,301.21,299.67,311.46,310.58,308.55,396.07,423.38,500.05,682.77,660.89,650.61,703.3,711.57,788.69
"421","Bychawa (3)",371,374,409,440,466.33,519.55,776.73,560,570.18,599.54,678.21,775.97,984.04,815.66,925.83,1043.7,1223.79,1307.68
"422","Garbów (2)",404,419,458,493,543.55,582.93,604.56,580.77,648.61,727.66,799.39,909.67,1015.9,1114.57,1044.97,1089.08,1416.07,1637.89
"423","Głusk (2)",463,456,489,666,640.28,770.36,925.16,934.08,1262.04,1077.09,1117.09,1201.26,1392.02,1526.97,1656.38,1790.13,2013.63,2258.94
"424","Jabłonna (2)",329,328,346,389,447.77,474.79,527.13,520.85,594.32,618.77,653.38,683.93,900.73,899.03,911.35,1042.72,1141.82,1365.15
"425","Jastków (2)",517,510,602,709,784.83,993.6,1003.87,1059.12,1168.88,1168.93,1451.81,1441.17,1641.13,1759.13,1710.67,1833.58,2066.72,2532.59
"426","Konopnica (2)",576,552,668,732,793.55,1027.33,1039.4,1063.4,1157.29,1205.04,1313.81,1465.28,1596.36,1712.18,1852.21,1887.04,2127.53,2370.88
"427","Krzczonów (2)",399,400,448,468,498.45,505.75,557.54,532.63,608.43,653.16,810.87,807.55,918.73,1025.05,1030.32,1325.68,1212.4,1426.12
"428","Niedrzwica Duża (2)",353,300,334,369,426.19,519.78,571.71,564.43,612.23,688.93,1155.91,812.98,840.17,936.91,976.51,1030.03,1306.04,1383.08
"429","Niemce (2)",607,569,619,733,782.19,898.34,1070.32,979.4,972.01,1039.67,1064.24,1174.73,1321.03,1384.03,1490.99,1531.76,1836.81,2006.12
"430","Strzyżewice (2)",331,339,395,442,576.58,513.02,746.97,578.83,597.84,807.72,687.93,709.17,914.79,962.15,1041.75,1097.73,1299.58,1510.03
"431","Wojciechów (2)",318,299,323,336,352.46,390.17,424.59,452.57,534.85,539.62,689.2,730.34,730.44,774.6,865.06,892.27,1027.21,1179.73
"432","Wólka (2)",402,427,680,642,728.8,801.12,945.49,1292.63,1101.79,1274.79,1214.98,1433.6,1344.95,1469.27,1622.9,1891.21,1893.97,2290.13
"433","Wysokie (2)",320,337,439,355,421.96,462.29,553.42,555.63,713.47,799.07,698.29,819.4,876.97,935.15,937.62,979.51,1097.08,1089.61
"434","Zakrzew (2)",243,286,288,283,357.63,351.79,424.13,398.7,440.52,734.33,590.63,579.03,770.78,685.31,720.39,841.53,897.16,951.12
"435","Cyców (2)",423,373,449,556,488.68,611.92,960.49,674.32,1156.66,1160.98,2018.02,1522.81,2115.45,1668.34,2341.41,2003.28,2463.28,4747.18
"436","Ludwin (2)",754,1136,1182,1324,971.85,1113.46,1252.73,1168.87,1534.9,1632.47,1443.65,1537.01,1775.91,1347.71,1624.66,1635.03,1942.22,2447.63
"437","Łęczna (3)",400,438,602,698,729.28,987.06,1056.73,968.84,997.79,1101.52,1115.45,1331.35,1502.42,1466.8,1698.97,1659.66,1794.58,1976.87
"438","Milejów (2)",437,458,440,449,524.15,576.66,648.36,734.76,749.2,958.28,968.29,951.75,1050.46,1063.35,1164.55,1266.55,1363.54,1644.78
"439","Puchaczów (2)",1115,1783,1912,1678,2579.76,2354.63,4342,2892.09,4217.55,3878.78,5220.65,4399.53,3266.68,3975.39,4562.73,4656.03,4428.55,5887.89
"440","Spiczyn (2)",314,310,339,360,379.08,424.35,494.23,598.3,479.43,557.73,609.23,742.47,761.34,794.69,849.89,871.91,975.33,1142.08
"441","Łuków (1)",524,568,680,751,832.05,947.16,1004.48,1053.14,1055.79,1173.87,1227.83,1387.13,1537.88,1660.66,1676.48,1727.58,2005.11,1974.56
"442","Stoczek Łukowski (1)",720,594,671,730,888.25,965.22,1063.86,1064.58,1179.09,1209.21,1239.48,1313.3,1453.05,1576.07,1578.06,1582.02,1741.75,2448.11
"443","Adamów (2)",270,252,229,426,335.4,347.24,494.19,373.91,426.91,478.09,469.95,538.66,735.28,740.34,799.55,834.59,924.8,1107.58
"444","Krzywda (2)",251,269,301,337,332.65,357.26,459.05,392.46,408.55,485.89,524.3,581.68,678.52,731.35,753.58,801.1,944.07,1020.12
"445","Łuków (2)",224,270,294,280,326.07,382.38,537.3,499.47,514.9,527.55,607.36,701.81,747.18,879.96,850.52,927.56,1202.81,1375.49
"446","Serokomla (2)",198,231,267,240,273.76,394.95,380.27,470.26,402.93,402.65,479.53,500.34,597.95,645.83,671.72,782.47,856.1,1022.4
"447","Stanin (2)",277,293,288,329,318.52,409.76,430.44,478.4,463.57,480.24,567.08,633.06,658.53,729.34,895.38,920.61,1098.29,1327.95
"448","Stoczek Łukowski (2)",225,230,254,305,313.82,389.62,416.15,441.39,442.35,496.69,567.89,655.43,713.84,762.92,842.13,999.95,1206.3,1341.37
"449","Trzebieszów (2)",286,330,372,467,531.55,548.24,594.9,604.66,603.74,650.41,801.35,891.83,968.66,985.17,944.14,1002.85,1286.65,1478.46
"450","Wojcieszków (2)",171,172,192,227,229.67,243.73,309.23,309.21,274.38,598.14,391.96,437.75,495.25,545.4,565.23,588.03,653.43,776.24
"451","Wola Mysłowska (2)",327,281,301,332,353.04,394.06,418.81,405.83,454.59,486.83,583.4,658.16,1003.41,1163.96,785.85,828.32,911.58,931.89
"452","Chodel (2)",265,277,399,319,363.73,381.31,437.38,406.66,428.27,452.61,482.98,546.91,585.58,671.26,756.45,726.71,954.48,1044.21
"455","Karczmiska (2)",308,312,394,308,331.42,365.25,441.09,399.5,448.05,465.04,667.77,550.01,696.14,853.69,952.71,986.24,1017.03,1317.43
"456","Łaziska (2)",337,343,357,369,409.75,432.73,507.55,493.72,672.7,542.43,627.6,696.34,819.78,865.61,862.97,922.44,987.21,1454.51
"457","Opole Lubelskie (3)",384,436,497,528,565.51,643.49,890.59,671.11,670.01,728.76,843.48,967.33,976.49,1072.3,1176.48,1181.01,1244.54,1682.92
"458","Poniatowa (3)",329,319,368,397,454.52,562.5,682.06,685.97,798,777.54,846.27,892.14,1065.01,1071.52,1102.46,1274.44,1323.49,1596.65
"459","Wilków (2)",307,299,317,365,338.65,411.29,465.9,498.39,1809.1,620.14,659.02,727.51,686.03,755.11,767.1,822.76,910.62,1180.84
"460","Dębowa Kłoda (2)",335,353,380,446,428.88,558,667.25,597.25,678.28,1609.61,1368.58,1163.95,1305.6,1326.34,1342.92,1320.22,1516.03,1280.12
"461","Jabłoń (2)",312,465,396,401,460.69,465.41,582.75,466.19,553.89,618.87,803.02,760.16,1151.54,825.93,841.45,884.65,1048.68,1069.96
"462","Milanów (2)",328,344,326,365,386.03,420.98,452.79,468.05,581.19,581.24,643.98,1047.78,898.63,1329.52,882.94,1210.93,1321.77,1203.82
"463","Parczew (3)",486,485,578,648,685.56,777.16,920.59,875.31,915.59,1124.06,1080.37,1210.77,1339.73,1312.98,1390.96,1543.1,1610.06,1796.55
"464","Podedwórze (2)",348,409,661,485,524.75,544.65,655.15,674.28,1021.2,1066.07,1332.37,1286.61,1404.82,933.74,1066.39,1029.5,1021.55,1204.57
"465","Siemień (2)",245,253,291,395,320.42,373.95,430.06,393.15,413.57,462.7,458.51,647.89,721.76,712.12,674.42,662.2,768.4,899.62
"466","Sosnowica (2)",477,574,591,585,651.55,910.01,845.67,882.87,879.89,917.33,1100.39,1167.82,1310.37,1294.84,1376.47,1421.68,1700.57,1711.81
"467","Puławy (1)",985,1006,1236,1436,1468.53,1625.78,1905.27,1743.68,1750.09,2115.26,2186.76,2485.43,2435.14,2586.45,2906.61,2782.44,3261.62,3287.57
"468","Baranów (2)",379,418,446,575,684.91,666.41,792.05,778.62,903.29,918.22,1012.65,1272.58,1353.6,1199.31,1249.88,1324.43,1542.9,1563.82
"469","Janowiec (2)",419,387,408,529,426.25,498.77,604.17,596.14,719.8,682.66,717.96,839.91,1169.41,1246.36,1604.9,1260.6,1350.18,1913.34
"470","Kazimierz Dolny (3)",656,582,681,730,828.3,1075.19,1226.27,1188.84,1303.65,1305.33,1658.7,1522.9,1458.87,1725.15,2109.91,1802.52,1939.58,2222.32
"471","Końskowola (2)",464,464,534,582,650.04,733.91,1056.06,863.12,926.32,919.98,1084.25,1205.12,1327.56,1278.85,1378.37,1399.98,1625.67,2236.36
"472","Kurów (2)",370,400,444,476,512.06,566.99,620.98,614.03,697.97,969.37,918.51,921.08,1007.56,1008.48,1107.58,1173.41,1436.26,1505.02
"473","Markuszów (2)",514,493,548,537,583.74,595.19,654.31,630.45,603.8,896.24,855.75,911.92,1076.37,1194.28,1284.64,1270.95,1555.57,1838.94
"474","Nałęczów (3)",687,644,760,1331,851.7,850.42,996.92,1180.23,1076.25,1287.03,1174.12,1256.77,1399.51,1460.74,2444.5,1883.68,2290.51,2047.98
"475","Puławy (2)",471,499,527,583,629.17,690.46,806.08,819.36,822,906.01,990.39,1108.23,1195.4,1290.64,1497.26,1533.88,1755.35,2038.3
"476","Wąwolnica (2)",454,441,452,465,509.39,551.94,653.97,572.8,997.17,744.88,806.38,914.34,990.8,1061.48,1131.2,1231.58,1379.79,1464.31
"477","Żyrzyn (2)",360,348,406,426,465.06,532.6,613.56,549.05,583.65,854.28,749.59,771.36,883.12,927.14,971.84,1147.81,1219.25,1232.84
"478","Radzyń Podlaski (1)",524,525,637,691,804.33,1011.31,1185.35,1130.26,1135.81,1122.34,1433.98,1432.02,1691.49,2077.2,1803.18,1982.76,1917.39,2169.66
"479","Borki (2)",222,235,227,370,294.32,309.17,523.85,374.47,346.93,518.51,600.65,588.92,647.35,734.64,619.53,663.02,873.89,1117.76
"480","Czemierniki (2)",248,270,349,329,355.5,389.16,535.35,486.08,418.52,572.02,727.95,828.19,709.07,726.56,809.52,956.36,893.44,1062.35
"481","Kąkolewnica (2)",230,224,261,300,320.62,377.52,531.26,494.4,586.98,506.42,552.67,632.59,691.94,740.64,796.98,822.65,952.11,1392.31
"482","Komarówka Podlaska (2)",301,302,324,485,416.19,424.07,476.33,452.2,461.55,523.75,537.57,603.86,776.09,721.6,742.88,867.84,982.39,982.91
"483","Radzyń Podlaski (2)",336,375,405,435,473.89,516.66,689.83,652.69,638.94,655.92,708.24,838.31,1028.18,1150.3,1053.67,1251.77,1218.15,1371.04
"484","Ulan-Majorat (2)",244,248,262,285,322.34,380.59,411.62,463.8,382.43,434.19,472.12,509.23,706.22,643.87,732.38,703.04,922.81,901.21
"485","Wohyń (2)",274,286,343,364,361.61,489.01,479.47,471.44,548.93,582.55,737.46,777.52,837.58,880.98,851.1,853.3,1106.69,1116.24
"486","Dęblin (1)",596,684,743,914,1000.9,1084.13,1115.99,1014.7,1067.39,1251.44,1255.76,1414.39,1629.36,1746.96,1758.08,1825.03,1953.81,2254.54
"487","Kłoczew (2)",252,260,286,274,304.1,332.51,415.27,431.63,411.38,452.38,714.1,617.74,794.75,818,838.7,905.67,1092.18,1177.97
"488","Nowodwór (2)",200,199,243,332,242.09,268.25,333.18,366.7,372.96,417.77,699.4,458.74,512.65,576.46,625.74,719.67,990.62,951.84
"489","Ryki (3)",481,491,572,620,656.87,745.62,815.1,784.74,814.57,905.56,936.04,1030.05,1177.18,1239.42,1279.82,1527.81,1610.41,1745.1
"490","Stężyca (2)",426,613,611,657,701.83,820.08,954.09,825.24,933.83,1461.64,1238.17,1368.65,1333.48,1531.7,1803.18,1489.06,1802,1990.94
"491","Ułęż (2)",444,302,338,354,412.4,449.49,535.13,466.03,1062.69,1087.58,826.2,790.75,997.07,1211.06,916.48,1107.8,995.97,1195.23
"492","Świdnik (1)",579,652,704,784,908.89,1070.13,1469.67,1116.61,1184.23,1556.39,1478.34,1593.93,1630.04,1664.52,1821.41,1786.37,1942.14,2475.27
"493","Mełgiew (2)",548,588,627,701,691.77,755.82,996.28,910.27,838.97,1184.4,1053.21,1171.38,1306.61,1287.86,1347.57,1432.41,1630.32,1948.62
"494","Piaski (3)",374,387,456,480,513.87,601.88,684.84,649.46,659.83,782.26,898.06,920.9,1203.26,1293.34,1237.37,1445.1,1360.25,1471.93
"495","Rybczewice (2)",346,391,382,394,448.15,529.28,611.53,539,518.92,776.65,730.99,792.56,860.78,1020.3,986.23,1185.79,1111.93,1297.4
"496","Trawniki (2)",331,331,433,377,395.45,447.37,504.08,505.54,507.02,531.4,658.59,658.33,790.99,781.57,871.32,940.07,1110.72,1205.48
"497","Tomaszów Lubelski (1)",680,744,874,953,1000.14,1106.1,1191.82,1158.33,1241.98,1212.17,1339.44,1458.78,1693.17,1619.67,1785.24,1780.98,1920.81,2126.14
"498","Bełżec (2)",338,408,406,421,496.25,643.73,640.22,541.11,695.09,632.47,717.42,871.95,812.87,833.23,1053.96,1031.98,1116.67,1300.16
"499","Jarczów (2)",321,329,355,360,410.75,466.19,523.26,563.54,602.9,554.45,794.94,721.07,829.32,929.84,1196.64,1229.91,1410.38,1487.62
"500","Krynice (2)",309,307,343,378,567.21,453.21,543.97,471.48,453.58,500.46,623.63,687.22,730.58,781.02,861.17,980.12,925.92,1276.3
"505","Rachanie (2)",426,464,682,548,608.38,713.59,673.07,691.32,669.78,839.96,878.07,884.48,811.99,775.31,779.99,833.11,918.96,1066.11
"506","Susiec (2)",274,279,276,285,303.63,343.75,398.88,350.04,509.7,386.68,475.19,476.38,657.07,660.2,809.04,768.86,910.6,910.88
"507","Tarnawatka (2)",294,290,327,344,404.51,474.48,550.87,580.06,892.18,1229.71,768.01,764.3,984.18,760.8,869.02,1107.53,974.26,1093.2
"508","Telatyn (2)",417,413,483,524,485.7,581.81,650.79,671.92,820.91,666.55,977.79,843.96,920.27,1010.56,995.25,955.42,1103.19,1436.34
"509","Tomaszów Lubelski (2)",272,276,288,312,337.52,400.66,457.68,444.32,612.97,564.79,683.45,702.13,840.93,820.55,948.8,1057.73,1235.28,1304.11
"510","Tyszowce (3)",311,323,350,391,377.53,507.55,585.35,498.83,598.37,668.01,1334.46,783.5,843.24,990.45,1177.3,1386.91,1389.68,1611.15
"511","Ulhówek (2)",444,463,515,562,550.8,552.71,612.86,604.55,721.19,1002.3,1018.39,733.34,989.25,962.13,908.66,894,929.14,1064.9
"512","Włodawa (1)",609,656,727,930,859.82,979.85,1133.86,1123.98,1088.2,1192.57,1356.56,1396.12,1467.57,1503.98,1526.09,1560.79,1665.03,1869.58
"513","Hanna (2)",275,418,580,361,394.71,456.04,567.45,590.9,497.27,835.7,679.48,689.99,838.5,1138.23,828.97,866.37,1026.39,1382.63
"514","Hańsk (2)",329,298,323,363,410.63,443.64,447.25,481.36,655.24,537.95,660.83,657.32,892.85,1073.6,1035.89,968.91,996.66,1048.74
"515","Stary Brus (2)",319,368,308,560,458.61,533.84,429.59,425.45,530.93,494.22,572.79,654.52,667.42,734.66,746.04,834,815.15,986.36
"516","Urszulin (2)",338,598,424,452,507.7,601.51,693.68,754.72,685.3,872.54,943.59,924.91,1102.69,1145,1234.03,1285.57,1386.39,1891.37
"517","Włodawa (2)",739,578,590,641,664.18,803.6,909.92,851.91,825.45,1131.2,1085.48,1289.55,1554.6,1708.85,1491.49,1724.52,1822.59,2250.47
"518","Wola Uhruska (2)",304,275,314,323,425.23,641.29,704.23,597.13,596.82,692.72,1191.28,1111.49,1205.1,1190.48,1009.64,1079.01,1134.4,1436.47
"519","Wyryki (2)",439,435,430,527,455.64,518.69,561.97,606.08,709.97,615.67,762.77,833.41,951.4,1002.28,921.5,966.43,1115.5,1246.96
"520","Adamów (2)",278,304,375,353,403.19,452.72,520.73,402.26,422.43,506.66,551.12,592.61,678.01,679.09,773.03,867.96,1010.94,1180.23
"521","Grabowiec (2)",294,314,343,367,482.76,440.76,557.52,451.35,488.72,546.24,560.4,751.99,851.05,870.17,949.79,924.92,1021.88,1076.37
"522","Komarów-Osada (2)",321,309,376,353,377.79,403.09,543.09,464.69,527.73,565.15,623.06,691.52,863.5,795.48,857.29,913.36,911.28,1051.44
"523","Krasnobród (3)",379,364,429,481,485.53,553.03,647.68,612.35,586.66,649.33,700.44,796.44,915.05,1008.02,985.11,962.59,1134.45,1326.85
"524","Łabunie (2)",306,313,332,365,383.08,419.66,435.94,505,472.24,576.09,646.15,599.72,682.25,894.34,835.14,803.08,1003.3,965.51
"525","Miączyn (2)",293,303,325,355,356.02,397.13,431.26,439.63,411.11,510.68,533.1,598.82,761.34,768.68,758.28,824.78,835.18,951.03
"526","Nielisz (2)",277,270,297,334,315.66,388.34,465.12,478.11,396.85,413.02,493.1,758.7,765.05,623.54,715.48,773.49,1077.36,966.25
"527","Radecznica (2)",257,270,289,300,346.31,364.49,424.44,468.02,880.67,492.13,482.64,521.49,581.61,633.51,690.29,690.7,882.1,1724.56
"528","Sitno (2)",287,293,335,337,359.61,423.58,531.31,524.2,519.14,636.52,781.74,719.77,875.54,844.46,909.97,956.2,1072.79,1309.88
"529","Skierbieszów (2)",415,393,460,428,466.63,554.39,741.62,797.1,921.43,1518.76,900,981.94,1092.68,1162.33,956.77,983.39,1257.53,1361.39
"530","Stary Zamość (2)",271,280,326,324,357.78,464.94,415.63,415.39,532.17,434.53,547.28,535.98,602.88,652.71,714.47,876.5,1094.2,1057.13
"531","Sułów (2)",267,255,311,336,345.86,392.9,443.14,431.85,683.88,731.03,662.43,665.06,669.75,897.08,918.27,782.63,821.91,1198.67
"532","Szczebrzeszyn (3)",392,401,470,503,572.81,671.57,694.43,725.23,782.22,814.75,737.65,863.86,1104.47,1036.48,1087.99,1214.82,1270.9,1646.38
"533","Zamość (2)",321,385,447,494,503.14,621.16,704.81,706.4,699.43,774.07,855.47,901.41,964.37,1040.85,1157.32,1269.22,1392.62,1561.55
"534","Zwierzyniec (3)",472,490,621,644,726.08,775.81,950.67,853.73,1122,1300.35,1374.62,1466.68,1461.41,1471.53,1610,1508.66,1650.38,2010.88
"535","Biała Podlaska (1)",642,622,841,885,1060.42,1190.01,1600.94,1289.9,1275.05,1445.17,1587,1603.81,1671.09,1791.28,1812.21,1901.63,2143.67,2489.4
"536","Chełm (1)",646,731,894,958,996.66,1152.73,1327.08,1193.79,1210.98,1387.14,1446.61,1593,1751.17,1772.12,2003.57,1895.56,2162.45,2277.28
"537","Lublin (1)",790,815,1140,1240,1397.8,1665.89,1898.52,1932.66,1929.45,2158.47,2389.52,2506.06,2819.94,2803.61,2930.86,3116.15,3309.1,3693.56
"538","Zamość (1)",654,744,893,960,1211.9,1254.93,1594.48,1303.94,1414.09,1563.68,1539.12,1630.02,1790.08,1881.95,2003.74,2338.9,2511.24,2840.19
"539","Kostrzyn nad Odrą (1)",1068,968,1124,1271,1445.86,1660.32,2031.06,1729.09,1821.41,2232.24,2254.83,2398.15,2674.46,2697.88,2902.58,2999.76,3357.39,3477.46
"540","Bogdaniec (2)",515,510,586,682,745.88,920.77,974.49,785.39,848.1,1058.88,1152.27,1226.77,1289.51,1697.53,1404.34,1841.35,1856.86,2440.61
"541","Deszczno (2)",497,509,580,687,776.48,1138.67,1057.28,1046.86,1098.61,1194.65,1276.78,1468.77,1460.02,1727.45,1678.84,1955.52,2032.36,2137.66
"542","Kłodawa (2)",1035,1138,1100,1030,1286.37,1698.6,1516.01,1819.68,1516.45,1636.36,1721.31,1930.59,2030.57,2302.4,2171.82,2395.56,2616.28,3050.03
"543","Lubiszyn (2)",614,718,823,861,883.11,964.19,1041.06,1090.42,1023.03,1378.57,1276.15,1801.1,1724.86,1896.46,1445.09,2148.12,2188.16,2422.95
"544","Santok (2)",575,518,594,738,769.32,932.12,1241.59,979.68,1061.32,1257.31,1351.75,1388.75,1449.47,1603.67,1765.33,1811.58,2001.56,2394.11
"545","Witnica (3)",439,505,590,596,727.07,901.33,850.06,992.97,1748.33,2120.41,1679.65,1513.77,1611.8,1705.88,1945.22,1901.98,2082.78,2121.75
"546","Gubin (1)",803,904,923,940,1098.71,1155.38,1260.69,1252.67,1559.76,1357,1566.67,1693.84,1690.04,1784.44,1985.39,2041.57,2219.9,2515.38
"547","Bobrowice (2)",1214,1544,1710,1761,1811.03,1923.74,1858.09,2309.76,2047.92,2217.76,3718.8,3315.21,3430.26,3864.8,3281.13,3565.54,3668.57,3638.44
"548","Bytnica (2)",548,669,631,778,816.2,894.1,1232.17,992.89,1090.38,1204.79,2086.27,1640.82,1727.06,2164.15,1602.5,1745.86,1788.7,2023.58
"549","Dąbie (2)",440,450,526,595,738.63,806.91,983.56,937.27,973.32,1592.55,1299.11,1294.1,1687.19,1711.6,1436.58,1423.58,1682.92,1850.17
"550","Gubin (2)",503,514,517,600,605.52,683.11,810.91,762.18,876.95,835.54,1071.7,1405.85,1522.54,1404.94,1324.48,1464.74,1690.79,1902.91
