Gmina,Powiat,Województwo,Powierzchnia [km²],Liczba ludności [osoby],Gęstość zaludnienia [osoby/km²]
gmina Biskupice,wielicki,małopolskie,"41,14",10 014,243
gmina Biskupiec,nowomiejski,warmińsko-mazurskie,"240,61",9461,39
gmina Biskupiec,olsztyński,warmińsko-mazurskie,"290,41",19 072,66
gmina Biszcza,biłgorajski,lubelskie,"106,31",3856,36
gmina Bisztynek,bartoszycki,warmińsko-mazurskie,"202,88",6466,32
gmina Blachownia,częstochowski,śląskie,"66,61",13 132,197
gmina Bledzew,międzyrzecki,lubuskie,"247,48",4440,18
gmina Blizanów,kaliski,wielkopolskie,"157,52",9856,63
gmina Bliżyn,skarżyski,świętokrzyskie,"141,2",8226,58
gmina Błaszki,sieradzki,łódzkie,"201,38",14 727,73
gmina Błażowa,rzeszowski,podkarpackie,"112,6",10 826,96
gmina Błędów,grójecki,mazowieckie,"134,05",7597,57
gmina Błonie,warszawski zachodni,mazowieckie,"85,58",21 356,250
gmina Bobolice,koszaliński,zachodniopomorskie,"367,56",9270,25
gmina Bobowa,gorlicki,małopolskie,"49,77",9735,196
gmina Bobowo,starogardzki,pomorskie,"51,63",3146,61
gmina Bobrowice,krośnieński,lubuskie,"184,93",3219,17
gmina Bobrowniki,lipnowski,kujawsko-pomorskie,"95,39",3113,33
gmina Bobrowniki,będziński,śląskie,"51,48",11 933,232
gmina Bobrowo,brodnicki,kujawsko-pomorskie,"145,91",6392,44
Bochnia,bocheński,małopolskie,"29,87",30 048,1006
gmina Bochnia,bocheński,małopolskie,"130,87",19 606,150
gmina Boćki,bielski,podlaskie,"231,89",4434,19
gmina Bodzanów,płocki,mazowieckie,"136,35",8264,61
gmina Bodzechów,ostrowiecki,świętokrzyskie,"122,19",13 535,111
gmina Bodzentyn,kielecki,świętokrzyskie,"159,75",11 636,73
gmina Bogatynia,zgorzelecki,dolnośląskie,"136,12",23 706,174
gmina Bogdaniec,gorzowski,lubuskie,"111,73",7102,64
gmina Bogoria,staszowski,świętokrzyskie,"122,89",7870,64
gmina Boguchwała,rzeszowski,podkarpackie,"88,96",20 186,227
Boguszów-Gorce,wałbrzyski,dolnośląskie,"27,02",15 733,582
gmina Boguty-Pianki,ostrowski,mazowieckie,"89,09",2651,30
gmina Bojadła,zielonogórski,lubuskie,"102,27",3292,32
gmina Bojanowo,rawicki,wielkopolskie,"123,5",8864,72
gmina Bojanów,stalowowolski,podkarpackie,"179,33",7504,42
gmina Bojszowy,bieruńsko-lędziński,śląskie,"34,69",7674,221
gmina Bolesław,dąbrowski,małopolskie,"35,7",2734,77
gmina Bolesław,olkuski,małopolskie,"40,71",7750,190
Bolesławiec,bolesławiecki,dolnośląskie,"23,57",39 167,1662
gmina Bolesławiec,bolesławiecki,dolnośląskie,"288,49",14 210,49
gmina Bolesławiec,wieruszowski,łódzkie,"64,47",4054,63
gmina Boleszkowice,myśliborski,zachodniopomorskie,"130,49",2893,22
gmina Bolimów,skierniewicki,łódzkie,"111,71",4064,36
gmina Bolków,jaworski,dolnośląskie,"152,6",10 631,70
gmina Boniewo,włocławski,kujawsko-pomorskie,"77,62",3457,45
gmina Borek Wielkopolski,gostyński,wielkopolskie,"127,64",7555,59
gmina Borki,radzyński,lubelskie,"111,82",6044,54
gmina Borkowice,przysuski,mazowieckie,"85,8",4292,50
gmina Borne Sulinowo,szczecinecki,zachodniopomorskie,"484,5",9840,20
gmina Boronów,lubliniecki,śląskie,"57,28",3370,59
gmina Borowa,mielecki,podkarpackie,"55,31",5570,101
gmina Borowie,garwoliński,mazowieckie,"80,22",5226,65
gmina Borów,strzeliński,dolnośląskie,"98,65",5318,54
gmina Borzechów,lubelski,lubelskie,"67,46",3785,56
gmina Borzęcin,brzeski,małopolskie,"102,7",8385,82
gmina Borzytuchom,bytowski,pomorskie,"108,52",3153,29
gmina Bralin,kępiński,wielkopolskie,"85,35",6089,71
gmina Branice,głubczycki,opolskie,"121,63",6569,54
Braniewo,braniewski,warmińsko-mazurskie,"12,41",17 123,1380
gmina Braniewo,braniewski,warmińsko-mazurskie,"306,26",6171,20
Brańsk,bielski,podlaskie,"32,43",3796,117
gmina Brańsk,bielski,podlaskie,"227,43",5916,26
gmina Brańszczyk,wyszkowski,mazowieckie,"166,51",8341,50
gmina Brąszewice,sieradzki,łódzkie,"106,63",4531,42
gmina Brenna,cieszyński,śląskie,"95,61",11 176,117
gmina Brochów,sochaczewski,mazowieckie,"119,81",4334,36
Brodnica,brodnicki,kujawsko-pomorskie,"23,15",28 625,1237
gmina Brodnica,brodnicki,kujawsko-pomorskie,"126,87",8057,64
gmina Brodnica,śremski,wielkopolskie,"95,83",4895,51
gmina Brody,żarski,lubuskie,"240,67",3450,14
gmina Brody,starachowicki,świętokrzyskie,"161,27",11 030,68
gmina Brojce,gryficki,zachodniopomorskie,"117,97",3801,32
gmina Brok,ostrowski,mazowieckie,"109,91",2882,26
gmina Brójce,łódzki wschodni,łódzkie,"69,02",6467,94
gmina Brudzeń Duży,płocki,mazowieckie,"159,84",8255,52
gmina Brudzew,turecki,wielkopolskie,"112,63",5950,53
gmina Brusy,chojnicki,pomorskie,"400,45",14 396,36
gmina Brwinów,pruszkowski,mazowieckie,"69,26",25 744,372
Brzeg,brzeski,opolskie,"14,61",36 292,2484
gmina Brzeg Dolny,wołowski,dolnośląskie,"94,4",16 059,170
gmina Brzesko,brzeski,małopolskie,"102,66",36 290,353
gmina Brzeszcze,oświęcimski,małopolskie,"45,6",21 486,471
gmina Brześć Kujawski,włocławski,kujawsko-pomorskie,"150,95",11 519,76
Brzeziny,brzeziński,łódzkie,"21,58",12 514,580
gmina Brzeziny,brzeziński,łódzkie,"106,64",5649,53
gmina Brzeziny,kaliski,wielkopolskie,"126,95",5836,46
gmina Brzeźnica,żagański,lubuskie,"122,18",3749,31
gmina Brzeźnica,wadowicki,małopolskie,"66,43",10 196,153
gmina Brzeźnio,sieradzki,łódzkie,"128,63",6336,49
gmina Brzeżno,świdwiński,zachodniopomorskie,"110,81",2836,26
gmina Brzostek,dębicki,podkarpackie,"122,33",13 126,107
gmina Brzozie,brodnicki,kujawsko-pomorskie,"93,66",3788,40
gmina Brzozów,brzozowski,podkarpackie,"103,07",26 645,259
gmina Brzuze,rypiński,kujawsko-pomorskie,"86,4",5360,62
gmina Brzyska,jasielski,podkarpackie,"44,87",6531,146
gmina Buczek,łaski,łódzkie,"92,21",5077,55
gmina Buczkowice,bielski,śląskie,"19,46",11 156,573
gmina Budry,węgorzewski,warmińsko-mazurskie,"174,97",2915,17
gmina Budziszewice,tomaszowski,łódzkie,"30,17",2193,73
gmina Budzów,suski,małopolskie,"73,56",8863,120
gmina Budzyń,chodzieski,wielkopolskie,"209,09",8442,40
gmina Buk,poznański,wielkopolskie,"90,58",12 414,137
gmina Bukowiec,świecki,kujawsko-pomorskie,111,5142,46
gmina Bukowina Tatrzańska,tatrzański,małopolskie,"131,86",13 267,101
Bukowno,olkuski,małopolskie,"64,59",10 320,160
gmina Bukowsko,sanocki,podkarpackie,"136,93",5554,41
gmina Bulkowo,płocki,mazowieckie,"116,93",5706,49
gmina Burzenin,sieradzki,łódzkie,"120,35",5533,46
gmina Busko-Zdrój,buski,świętokrzyskie,"235,5",32 612,138
gmina Bychawa,lubelski,lubelskie,"146,37",11 832,81
gmina Byczyna,kluczborski,opolskie,"182,94",9463,52
Bydgoszcz,Bydgoszcz,kujawsko-pomorskie,"175,98",353 938,2011
gmina Bystra-Sidzina,suski,małopolskie,"80,52",6819,85
gmina Bystrzyca Kłodzka,kłodzki,dolnośląskie,"338,53",19 243,57
gmina Bytnica,krośnieński,lubuskie,"208,73",2514,12
