Gmina,Powiat,Województwo,Powierzchnia [km²],Liczba ludności [osoby],Gęstość zaludnienia [osoby/km²]
gmina Drwinia,bocheński,małopolskie,"108,33",6513,60
gmina Drzewica,łódzki wschodni,łódzkie,"118,19",10 649,90
gmina Drzycim,świecki,kujawsko-pomorskie,"108,41",5011,46
gmina Dubeninki,gołdapski,warmińsko-mazurskie,"205,29",3000,15
gmina Dubicze Cerkiewne,hajnowski,podlaskie,"151,44",1567,10
gmina Dubiecko,przemyski,podkarpackie,"154,25",9310,60
gmina Dubienka,chełmski,lubelskie,"96,12",2461,26
gmina Dukla,krośnieński,podkarpackie,"235,14",14 733,63
gmina Duszniki,szamotulski,wielkopolskie,"156,3",8788,56
Duszniki-Zdrój,kłodzki,dolnośląskie,"22,28",4745,213
gmina Dwikozy,sandomierski,świętokrzyskie,"84,58",8879,105
gmina Dydnia,brzozowski,podkarpackie,"130,29",8013,62
gmina Dygowo,kołobrzeski,zachodniopomorskie,"128,52",5646,44
Dynów,rzeszowski,podkarpackie,"24,55",6180,252
gmina Dynów,rzeszowski,podkarpackie,"119,02",6949,58
gmina Dywity,olsztyński,warmińsko-mazurskie,"161,16",11 374,71
gmina Dziadkowice,siemiatycki,podlaskie,"116,11",2827,24
gmina Dziadowa Kłoda,oleśnicki,dolnośląskie,"105,79",4668,44
Działdowo,działdowski,warmińsko-mazurskie,"11,47",21 355,1862
gmina Działdowo,działdowski,warmińsko-mazurskie,"272,17",9897,36
gmina Działoszyce,pińczowski,świętokrzyskie,"105,76",5107,48
gmina Działoszyn,pajęczański,łódzkie,"120,92",12 715,105
gmina Dziemiany,kościerski,pomorskie,"125,38",4329,35
gmina Dzierzążnia,płoński,mazowieckie,"102,48",3737,36
gmina Dzierzgoń,sztumski,pomorskie,"131,03",9397,72
gmina Dzierzgowo,mławski,mazowieckie,"150,61",3209,21
gmina Dzierzkowice,kraśnicki,lubelskie,"87,29",5339,61
Dzierżoniów,dzierżoniowski,dolnośląskie,"20,07",33 785,1683
gmina Dzierżoniów,dzierżoniowski,dolnośląskie,"141,06",9199,65
gmina Dzikowiec,kolbuszowski,podkarpackie,"121,56",6514,54
gmina Dziwnów,kamieński,zachodniopomorskie,"37,62",4003,106
gmina Dzwola,janowski,lubelskie,"200,37",6399,32
gmina Dźwierzuty,szczycieński,warmińsko-mazurskie,"263,34",6652,25
Elbląg,Elbląg,warmińsko-mazurskie,"79,82",121 191,1518
gmina Elbląg,elbląski,warmińsko-mazurskie,"192,05",7474,39
Ełk,ełcki,warmińsko-mazurskie,"21,05",61 074,2901
gmina Ełk,ełcki,warmińsko-mazurskie,"379,18",11 324,30
gmina Fabianki,włocławski,kujawsko-pomorskie,"75,84",9959,131
gmina Fajsławice,krasnostawski,lubelskie,"70,65",4627,65
gmina Fałków,konecki,świętokrzyskie,"132,37",4572,35
gmina Filipów,suwalski,podlaskie,"150,81",4398,29
gmina Firlej,lubartowski,lubelskie,"126,46",5915,47
gmina Frampol,biłgorajski,lubelskie,"107,6",6217,58
gmina Fredropol,przemyski,podkarpackie,"159,6",5572,35
gmina Frombork,braniewski,warmińsko-mazurskie,"124,1",3655,29
gmina Frysztak,strzyżowski,podkarpackie,"90,63",10 503,116
gmina Gać,przeworski,podkarpackie,"35,96",4616,128
gmina Galewice,wieruszowski,łódzkie,"135,77",6243,46
gmina Garbatka-Letnisko,kozienicki,mazowieckie,"73,83",5139,70
gmina Garbów,lubelski,lubelskie,"102,62",9032,88
gmina Gardeja,kwidzyński,pomorskie,"192,7",8459,44
Garwolin,garwoliński,mazowieckie,"22,08",17 338,785
gmina Garwolin,garwoliński,mazowieckie,"135,76",13 118,97
gmina Gaszowice,rybnicki,śląskie,"19,85",9589,483
gmina Gawłuszowice,mielecki,podkarpackie,"34,01",2758,81
gmina Gaworzyce,polkowicki,dolnośląskie,"76,76",4009,52
gmina Gąbin,płocki,mazowieckie,"146,21",11 067,76
gmina Gąsawa,żniński,kujawsko-pomorskie,"135,84",5232,39
Gdańsk,Gdańsk,pomorskie,"261,96",463 754,1770
gmina Gdów,wielicki,małopolskie,"108,72",17 865,164
Gdynia,Gdynia,pomorskie,"135,14",246 991,1828
gmina Giby,sejneński,podlaskie,"323,2",2792,9
gmina Gidle,radomszczański,łódzkie,"115,98",6196,53
gmina Gielniów,przysuski,mazowieckie,"79,22",4639,59
gmina Gierałtowice,gliwicki,śląskie,"38,06",11 894,313
gmina Gietrzwałd,olsztyński,warmińsko-mazurskie,"172,33",6536,38
gmina Gilowice,żywiecki,śląskie,"27,95",6204,222
gmina Gizałki,pleszewski,wielkopolskie,"108,43",4652,43
Giżycko,giżycki,warmińsko-mazurskie,"13,72",29 642,2160
gmina Giżycko,giżycki,warmińsko-mazurskie,"297,06",8344,28
gmina Glinojeck,ciechanowski,mazowieckie,"153,85",8067,52
Gliwice,Gliwice,śląskie,"133,88",182 156,1361
Głogów,głogowski,dolnośląskie,"35,11",68 292,1945
gmina Głogów,głogowski,dolnośląskie,"84,79",6602,78
gmina Głogów Małopolski,rzeszowski,podkarpackie,"144,7",19 628,136
gmina Głogówek,prudnicki,opolskie,"169,93",13 349,79
gmina Głowaczów,kozienicki,mazowieckie,"185,84",7260,39
Głowno,zgierski,łódzkie,"19,84",14 534,733
gmina Głowno,zgierski,łódzkie,"104,77",4839,46
gmina Główczyce,słupski,pomorskie,"321,97",9251,29
gmina Głubczyce,głubczycki,opolskie,"294,34",22 658,77
gmina Głuchołazy,nyski,opolskie,"168,07",24 064,143
gmina Głuchów,skierniewicki,łódzkie,"110,73",5829,53
gmina Głusk,lubelski,lubelskie,"64,25",10 418,162
gmina Głuszyca,wałbrzyski,dolnośląskie,"62,12",8777,141
gmina Gniew,tczewski,pomorskie,"194,12",15 717,81
gmina Gniewino,wejherowski,pomorskie,"176,27",7455,42
gmina Gniewkowo,inowrocławski,kujawsko-pomorskie,"179,72",14 576,81
gmina Gniewoszów,kozienicki,mazowieckie,"84,1",3952,47
Gniezno,gnieźnieński,wielkopolskie,"40,6",69 137,1703
gmina Gniezno,gnieźnieński,wielkopolskie,"178,16",11 364,64
gmina Gnojnik,brzeski,małopolskie,"54,99",7936,144
gmina Gnojno,buski,świętokrzyskie,"96,31",4466,46
gmina Goczałkowice-Zdrój,pszczyński,śląskie,"47,39",6693,141
gmina Godkowo,elbląski,warmińsko-mazurskie,"166,99",3156,19
gmina Godów,wodzisławski,śląskie,"38,05",13 604,358
gmina Godzianów,skierniewicki,łódzkie,"44,06",2611,59
gmina Godziesze Wielkie,kaliski,wielkopolskie,"105,4",9337,89
gmina Godziszów,janowski,lubelskie,"101,67",5924,58
gmina Gogolin,krapkowicki,opolskie,"100,57",12 502,124
gmina Golczewo,kamieński,zachodniopomorskie,"175,31",5925,34
gmina Goleniów,goleniowski,zachodniopomorskie,"442,8",35 845,81
gmina Goleszów,cieszyński,śląskie,"65,87",13 131,199
gmina Golina,koniński,wielkopolskie,"98,97",11 928,121
Golub-Dobrzyń,golubsko-dobrzyński,kujawsko-pomorskie,"7,5",12 839,1712
gmina Golub-Dobrzyń,golubsko-dobrzyński,kujawsko-pomorskie,"197,79",8635,44
gmina Gołańcz,wągrowiecki,wielkopolskie,"191,82",8389,44
gmina Gołcza,miechowski,małopolskie,"90,02",6167,69
gmina Gołdap,gołdapski,warmińsko-mazurskie,"362,04",20 347,56
gmina Gołuchów,pleszewski,wielkopolskie,"135,88",10 543,78
gmina Gołymin-Ośrodek,ciechanowski,mazowieckie,"110,71",3893,35
gmina Gomunice,radomszczański,łódzkie,"62,45",5896,94
gmina Goniądz,moniecki,podlaskie,"376,58",5008,13
gmina Goraj,biłgorajski,lubelskie,"67,87",4180,62
Gorlice,gorlicki,małopolskie,"23,53",27 903,1186
gmina Gorlice,gorlicki,małopolskie,"102,85",17 165,167
gmina Gorzkowice,piotrkowski,łódzkie,"102,17",8534,84
gmina Gorzków,krasnostawski,lubelskie,"96,68",3579,37
gmina Gorzów Śląski,oleski,opolskie,"153,71",7185,47
Gorzów Wielkopolski,Gorzów Wielkopolski,lubuskie,"85,72",123 995,1447
gmina Gorzyce,tarnobrzeski,podkarpackie,"68,9",13 329,193
gmina Gorzyce,wodzisławski,śląskie,"64,58",21 003,325
gmina Gostycyn,tucholski,kujawsko-pomorskie,"135,8",5232,39
Gostynin,gostyniński,mazowieckie,"32,4",18 741,578
gmina Gostynin,gostyniński,mazowieckie,"270,37",12 161,45
gmina Gostyń,gostyński,wielkopolskie,"137,28",27 969,204
gmina Goszczanów,sieradzki,łódzkie,"121,54",5534,46
gmina Goszczyn,grójecki,mazowieckie,"57,5",2992,52
gmina Gościeradów,kraśnicki,lubelskie,"159,29",7313,46
gmina Gościno,kołobrzeski,zachodniopomorskie,116,5161,44
gmina Gowarczów,konecki,świętokrzyskie,"100,96",4664,46
gmina Goworowo,ostrołęcki,mazowieckie,"219,1",8466,39
Gozdnica,żagański,lubuskie,"23,92",3172,133
gmina Gozdowo,sierpecki,mazowieckie,"126,35",5994,47
gmina Góra,górowski,dolnośląskie,"266,11",20 306,76
gmina Góra Kalwaria,piaseczyński,mazowieckie,"144,12",26 393,183
gmina Góra Świętej Małgorzaty,łęczycki,łódzkie,"90,26",4412,49
gmina Górno,kielecki,świętokrzyskie,"83,16",14 126,170
Górowo Iławeckie,bartoszycki,warmińsko-mazurskie,"3,32",4068,1225
gmina Górowo Iławeckie,bartoszycki,warmińsko-mazurskie,"415,91",7014,17
gmina Górzno,brodnicki,kujawsko-pomorskie,"119,68",3995,33
gmina Górzno,garwoliński,mazowieckie,"91,2",6463,71
gmina Górzyca,słubicki,lubuskie,"145,42",4254,29
gmina Gózd,radomski,mazowieckie,"77,95",8717,112
gmina Grabica,piotrkowski,łódzkie,"127,62",6096,48
gmina Grabowiec,zamojski,lubelskie,"128,47",4160,32
gmina Grabowo,kolneński,podlaskie,"128,59",3541,28
gmina Grabów,łęczycki,łódzkie,"154,96",6086,39
gmina Grabów nad Pilicą,kozienicki,mazowieckie,"124,72",3899,31
gmina Grabów nad Prosną,ostrzeszowski,wielkopolskie,"123,8",7827,63
Grajewo,grajewski,podlaskie,"18,94",22 130,1168
gmina Grajewo,grajewski,podlaskie,"308,22",5872,19
gmina Granowo,grodziski,wielkopolskie,"66,87",5051,76
gmina Grębków,węgrowski,mazowieckie,"130,76",4464,34
gmina Grębocice,polkowicki,dolnośląskie,"121,7",5374,44
gmina Gręboszów,dąbrowski,małopolskie,"48,51",3377,70
gmina Grębów,tarnobrzeski,podkarpackie,"187,2",9902,53
gmina Grodków,brzeski,opolskie,"285,95",19 388,68
gmina Grodziczno,nowomiejski,warmińsko-mazurskie,"154,37",6351,41
gmina Grodziec,koniński,wielkopolskie,"117,82",5256,45
gmina Grodzisk,siemiatycki,podlaskie,"203,05",4288,21
gmina Grodzisk Mazowiecki,grodziski,mazowieckie,"107,4",45 837,427
gmina Grodzisk Wielkopolski,grodziski,wielkopolskie,"132,59",19 740,149
gmina Grodzisko Dolne,leżajski,podkarpackie,"78,57",8075,103
gmina Gromadka,bolesławiecki,dolnośląskie,"267,68",5417,20
gmina Gromnik,tarnowski,małopolskie,"69,73",8833,127
gmina Gronowo Elbląskie,elbląski,warmińsko-mazurskie,"89,15",5138,58
gmina Gródek,białostocki,podlaskie,"429,7",5325,12
gmina Gródek nad Dunajcem,nowosądecki,małopolskie,"88,19",9175,104
gmina Grójec,grójecki,mazowieckie,"121,35",25 544,210
gmina Grudusk,ciechanowski,mazowieckie,"96,75",3677,38
Grudziądz,Grudziądz,kujawsko-pomorskie,"57,76",95 964,1661
gmina Grudziądz,grudziądzki,kujawsko-pomorskie,"165,33",12 513,76
gmina Grunwald,ostródzki,warmińsko-mazurskie,"179,94",5735,32
gmina Gruta,grudziądzki,kujawsko-pomorskie,"123,75",6546,53
Grybów,nowosądecki,małopolskie,"16,95",6074,358
gmina Grybów,nowosądecki,małopolskie,"153,15",24 909,163
gmina Gryfice,gryficki,zachodniopomorskie,"261,3",23 963,92
gmina Gryfino,gryfiński,zachodniopomorskie,"253,9",32 192,127
gmina Gryfów Śląski,lwówecki,dolnośląskie,"66,67",9813,147
gmina Grzegorzew,kolski,wielkopolskie,"73,33",5685,78
gmina Grzmiąca,szczecinecki,zachodniopomorskie,"205,12",4867,24
Gubin,krośnieński,lubuskie,"20,68",16 773,811
gmina Gubin,krośnieński,lubuskie,"379,6",7295,19
gmina Gzy,pułtuski,mazowieckie,"104,46",3875,37
gmina Haczów,brzozowski,podkarpackie,"71,65",9220,129
Hajnówka,hajnowski,podlaskie,"21,29",21 131,993
gmina Hajnówka,hajnowski,podlaskie,"292,93",3924,13
gmina Halinów,miński,mazowieckie,"63,09",15 748,250
gmina Hanna,włodawski,lubelskie,"139,29",2957,21
gmina Hańsk,włodawski,lubelskie,"176,27",3774,21
gmina Harasiuki,niżański,podkarpackie,"168,17",6169,37
gmina Hażlach,cieszyński,śląskie,"48,78",10 704,219
Hel,pucki,pomorskie,"21,72",3444,159
gmina Herby,lubliniecki,śląskie,"85,91",6885,80
gmina Horodło,hrubieszowski,lubelskie,"130,22",5312,41
gmina Horyniec-Zdrój,lubaczowski,podkarpackie,"203,1",4830,24
Hrubieszów,hrubieszowski,lubelskie,"33,03",18 075,547
gmina Hrubieszów,hrubieszowski,lubelskie,"259,21",10 203,39
gmina Huszlew,łosicki,mazowieckie,"117,71",2874,24
gmina Hyżne,rzeszowski,podkarpackie,"51,26",7004,137
gmina Igołomia-Wawrzeńczyce,krakowski,małopolskie,"62,79",7721,123
Iława,iławski,warmińsko-mazurskie,"21,88",33 108,1513
gmina Iława,iławski,warmińsko-mazurskie,"424,21",12 872,30
gmina Iłowa,żagański,lubuskie,"153,03",6964,46
gmina Iłowo-Osada,działdowski,warmińsko-mazurskie,"103,77",7293,70
gmina Iłów,sochaczewski,mazowieckie,"129,07",6193,48
gmina Iłża,radomski,mazowieckie,"256,02",14 957,58
Imielin,bieruńsko-lędziński,śląskie,"27,99",8896,318
gmina Imielno,jędrzejowski,świętokrzyskie,"101,01",4451,44
gmina Inowłódz,tomaszowski,łódzkie,"97,83",3828,39
Inowrocław,inowrocławski,kujawsko-pomorskie,"30,42",73 968,2432
gmina Inowrocław,inowrocławski,kujawsko-pomorskie,"171,65",11 647,68
gmina Ińsko,stargardzki,zachodniopomorskie,"151,01",3439,23
gmina Irządze,zawierciański,śląskie,71,2701,38
gmina Istebna,cieszyński,śląskie,"84,32",12 044,143
gmina Iwaniska,opatowski,świętokrzyskie,"104,89",6789,65
gmina Iwanowice,krakowski,małopolskie,"71,09",9014,127
gmina Iwierzyce,ropczycko-sędziszowski,podkarpackie,"65,52",7701,118
gmina Iwkowa,brzeski,małopolskie,"47,22",6341,134
gmina Iwonicz-Zdrój,krośnieński,podkarpackie,"45,5",10 958,241
gmina Izabelin,warszawski zachodni,mazowieckie,"65,01",10 521,162
gmina Izbica,krasnostawski,lubelskie,"138,27",8347,60
gmina Izbica Kujawska,włocławski,kujawsko-pomorskie,"132,1",7746,59
gmina Izbicko,strzelecki,opolskie,"84,51",5444,64
gmina Jabłonka,nowotarski,małopolskie,"212,73",18 413,87
gmina Jabłonna,lubelski,lubelskie,"131,21",7967,61
gmina Jabłonna,legionowski,mazowieckie,"64,8",18 638,288
gmina Jabłonna Lacka,sokołowski,mazowieckie,"149,27",4603,31
gmina Jabłonowo Pomorskie,brodnicki,kujawsko-pomorskie,"134,86",8998,67
gmina Jabłoń,parczewski,lubelskie,"110,35",3928,36
gmina Jadów,wołomiński,mazowieckie,"116,58",7598,65
gmina Jaktorów,grodziski,mazowieckie,"55,3",11 965,216
gmina Jakubów,miński,mazowieckie,"86,98",5062,58
gmina Janikowo,inowrocławski,kujawsko-pomorskie,"91,95",13 314,145
gmina Janowice Wielkie,jeleniogórski,dolnośląskie,"57,83",4324,75
gmina Janowiec,puławski,lubelskie,"78,82",3657,46
gmina Janowiec Kościelny,nidzicki,warmińsko-mazurskie,"135,92",3243,24
gmina Janowiec Wielkopolski,żniński,kujawsko-pomorskie,"130,73",9119,70
gmina Janowo,nidzicki,warmińsko-mazurskie,"191,66",2723,14
gmina Janów,sokólski,podlaskie,"207,81",4203,20
gmina Janów,częstochowski,śląskie,"146,75",5959,41
gmina Janów Lubelski,janowski,lubelskie,"178,7",16 101,90
gmina Janów Podlaski,bialski,lubelskie,"135,77",5457,40
gmina Jaraczewo,jarociński,wielkopolskie,"133,09",8293,62
gmina Jarczów,tomaszowski,lubelskie,"106,64",3518,33
gmina Jarocin,niżański,podkarpackie,"90,79",5429,60
gmina Jarocin,jarociński,wielkopolskie,"200,13",45 597,228
Jarosław,jarosławski,podkarpackie,"34,61",38 217,1104
gmina Jarosław,jarosławski,podkarpackie,"113,48",13 174,116
gmina Jasienica,bielski,śląskie,"91,67",23 577,257
gmina Jasienica Rosielna,brzozowski,podkarpackie,"57,06",7794,137
gmina Jasieniec,grójecki,mazowieckie,"108,24",5381,50
gmina Jasień,żarski,lubuskie,"126,79",7126,56
gmina Jasionówka,moniecki,podlaskie,"96,8",2834,29
Jasło,jasielski,podkarpackie,"36,52",35 713,978
gmina Jasło,jasielski,podkarpackie,"93,07",16 407,176
gmina Jastarnia,pucki,pomorskie,"7,8",3782,485
gmina Jastków,lubelski,lubelskie,"113,13",13 759,122
gmina Jastrowie,złotowski,wielkopolskie,"353,12",11 622,33
gmina Jastrząb,szydłowiecki,mazowieckie,"54,53",5248,96
gmina Jastrzębia,radomski,mazowieckie,"89,76",6975,78
Jastrzębie-Zdrój,Jastrzębie-Zdrój,śląskie,"85,33",89 883,1053
gmina Jaśliska,krośnieński,podkarpackie,"165,86",2241,14
gmina Jaświły,moniecki,podlaskie,"175,49",5029,29
Jawor,jaworski,dolnośląskie,"18,8",23 473,1249
gmina Jawornik Polski,przeworski,podkarpackie,"62,93",4486,71
gmina Jaworze,bielski,śląskie,"21,13",7191,340
Jaworzno,Jaworzno,śląskie,"152,59",92 473,606
gmina Jaworzyna Śląska,świdnicki,dolnośląskie,"67,45",10 342,153
gmina Jedlicze,krośnieński,podkarpackie,"58,57",15 512,265
Jedlina-Zdrój,wałbrzyski,dolnośląskie,"17,45",4930,283
gmina Jedlińsk,radomski,mazowieckie,"138,72",14 294,103
gmina Jedlnia-Letnisko,radomski,mazowieckie,"65,58",12 596,192
gmina Jednorożec,przasnyski,mazowieckie,"232,24",7167,31
gmina Jedwabne,łomżyński,podlaskie,"159,21",5387,34
gmina Jedwabno,szczycieński,warmińsko-mazurskie,"311,9",3682,12
gmina Jejkowice,rybnicki,śląskie,"7,59",4095,540
gmina Jelcz-Laskowice,oławski,dolnośląskie,"167,63",23 180,138
Jelenia Góra,Jelenia Góra,dolnośląskie,"109,22",80 524,737
gmina Jeleniewo,suwalski,podlaskie,"131,37",3156,24
gmina Jeleśnia,żywiecki,śląskie,"170,62",13 385,78
gmina Jemielnica,strzelecki,opolskie,"113,46",7225,64
gmina Jemielno,górowski,dolnośląskie,"124,02",3066,25
gmina Jerzmanowa,głogowski,dolnośląskie,"63,32",4868,77
gmina Jerzmanowice-Przeginia,krakowski,małopolskie,"68,14",10 876,160
gmina Jeziora Wielkie,mogileński,kujawsko-pomorskie,"123,73",4966,40
gmina Jeziorany,olsztyński,warmińsko-mazurskie,"211,49",7852,37
gmina Jeziorzany,lubartowski,lubelskie,"66,45",2849,43
gmina Jeżewo,świecki,kujawsko-pomorskie,"156,46",8102,52
gmina Jeżowe,niżański,podkarpackie,"123,93",10 137,82
gmina Jeżów,brzeziński,łódzkie,"64,09",3459,54
gmina Jeżów Sudecki,jeleniogórski,dolnośląskie,"94,28",7245,77
gmina Jędrzejów,jędrzejowski,świętokrzyskie,"226,62",28 446,126
gmina Jodłowa,dębicki,podkarpackie,"59,92",5408,90
gmina Jodłownik,limanowski,małopolskie,"72,19",8552,118
gmina Joniec,płoński,mazowieckie,"73,15",2632,36
gmina Jonkowo,olsztyński,warmińsko-mazurskie,"168,69",7229,43
Jordanów,suski,małopolskie,"21,03",5351,254
gmina Jordanów,suski,małopolskie,"92,45",11 040,119
gmina Jordanów Śląski,wrocławski,dolnośląskie,"56,69",3149,56
gmina Józefów,biłgorajski,lubelskie,"126,46",6881,54
Józefów,otwocki,mazowieckie,"23,91",20 362,852
gmina Józefów nad Wisłą,opolski,lubelskie,"141,55",6721,47
gmina Juchnowiec Kościelny,białostocki,podlaskie,"171,77",15 826,92
gmina Jutrosin,rawicki,wielkopolskie,"114,96",7115,62
gmina Kaczory,pilski,wielkopolskie,"150,64",7886,52
gmina Kadzidło,ostrołęcki,mazowieckie,"258,88",11 448,44
Kalety,tarnogórski,śląskie,"76,29",8616,113
gmina Kalinowo,ełcki,warmińsko-mazurskie,"284,46",6858,24
gmina Kaliska,starogardzki,pomorskie,"110,58",5338,48
Kalisz,Kalisz,wielkopolskie,"69,42",102 249,1473
gmina Kalisz Pomorski,drawski,zachodniopomorskie,"480,87",7406,15
gmina Kalwaria Zebrzydowska,wadowicki,małopolskie,"75,26",19 987,266
gmina Kałuszyn,miński,mazowieckie,"94,39",5908,63
gmina Kamienica,limanowski,małopolskie,"95,18",7780,82
gmina Kamienica Polska,częstochowski,śląskie,"46,45",5621,121
gmina Kamieniec,grodziski,wielkopolskie,"133,82",6699,50
gmina Kamieniec Ząbkowicki,ząbkowicki,dolnośląskie,"96,69",8324,86
Kamienna Góra,kamiennogórski,dolnośląskie,"18,04",19 522,1082
gmina Kamienna Góra,kamiennogórski,dolnośląskie,"158,03",9042,57
gmina Kamiennik,nyski,opolskie,"89,37",3547,40
gmina Kamień,chełmski,lubelskie,"96,83",4109,42
gmina Kamień,rzeszowski,podkarpackie,"73,63",6871,93
gmina Kamień Krajeński,sępoleński,kujawsko-pomorskie,"163,31",7018,43
gmina Kamień Pomorski,kamieński,zachodniopomorskie,"208,54",14 299,69
gmina Kamieńsk,radomszczański,łódzkie,"96,44",6010,62
gmina Kamionka,lubartowski,lubelskie,"111,69",6469,58
gmina Kamionka Wielka,nowosądecki,małopolskie,"64,98",10 231,157
gmina Kampinos,warszawski zachodni,mazowieckie,"84,6",4293,51
gmina Kańczuga,przeworski,podkarpackie,"105,03",12 429,118
gmina Karczew,otwocki,mazowieckie,"81,5",15 905,195
gmina Karczmiska,opolski,lubelskie,"94,61",5674,60
gmina Kargowa,zielonogórski,lubuskie,"128,53",5826,45
gmina Karlino,białogardzki,zachodniopomorskie,"141,03",9255,66
gmina Karnice,gryficki,zachodniopomorskie,"133,12",4086,31
gmina Karniewo,makowski,mazowieckie,"129,06",5232,41
Karpacz,jeleniogórski,dolnośląskie,"37,99",4770,126
gmina Karsin,kościerski,pomorskie,"169,43",6235,37
gmina Kartuzy,kartuski,pomorskie,"206,45",33 619,163
Katowice,Katowice,śląskie,"164,64",298 111,1811
gmina Kawęczyn,turecki,wielkopolskie,"101,05",5194,51
gmina Kazanów,zwoleński,mazowieckie,"94,92",4576,48
gmina Kazimierz Biskupi,koniński,wielkopolskie,"107,65",11 474,107
gmina Kazimierz Dolny,puławski,lubelskie,"72,41",6797,94
gmina Kazimierza Wielka,kazimierski,świętokrzyskie,"139,86",16 379,117
gmina Kaźmierz,szamotulski,wielkopolskie,"127,9",8312,65
gmina Kąkolewnica,radzyński,lubelskie,"147,53",8252,56
gmina Kąty Wrocławskie,wrocławski,dolnośląskie,"176,66",23 303,132
gmina Kcynia,nakielski,kujawsko-pomorskie,"296,63",13 478,45
Kędzierzyn-Koźle,kędzierzyńsko-kozielski,opolskie,"123,71",62 088,502
gmina Kępice,słupski,pomorskie,"293,05",9363,32
gmina Kępno,kępiński,wielkopolskie,"123,87",24 552,198
gmina Kęsowo,tucholski,kujawsko-pomorskie,"109,22",4450,41
Kętrzyn,kętrzyński,warmińsko-mazurskie,"10,35",27 493,2656
gmina Kętrzyn,kętrzyński,warmińsko-mazurskie,"285,36",8432,30
gmina Kęty,oświęcimski,małopolskie,"76,08",34 340,451
Kielce,Kielce,świętokrzyskie,"109,65",197 704,1803
gmina Kiełczygłów,pajęczański,łódzkie,"87,2",4096,47
gmina Kiernozia,łowicki,łódzkie,"76,23",3462,45
gmina Kietrz,głubczycki,opolskie,"139,63",11 129,80
gmina Kije,pińczowski,świętokrzyskie,"100,17",4480,45
gmina Kijewo Królewskie,chełmiński,kujawsko-pomorskie,"71,84",4467,62
gmina Kikół,lipnowski,kujawsko-pomorskie,"98,3",7196,73
gmina Kisielice,iławski,warmińsko-mazurskie,"172,86",6079,35
gmina Kiszkowo,gnieźnieński,wielkopolskie,"114,49",5404,47
gmina Kiwity,lidzbarski,warmińsko-mazurskie,"145,09",3351,23
gmina Kleczew,koniński,wielkopolskie,"110,28",9991,91
gmina Klembów,wołomiński,mazowieckie,"85,7",9723,113
gmina Kleszczele,hajnowski,podlaskie,"142,89",2632,18
gmina Kleszczewo,poznański,wielkopolskie,"74,46",7768,104
gmina Kleszczów,bełchatowski,łódzkie,"124,76",5807,47
gmina Klimontów,sandomierski,świętokrzyskie,"99,78",8220,82
gmina Klonowa,sieradzki,łódzkie,"94,98",2913,31
gmina Kluczbork,kluczborski,opolskie,"216,96",36 262,167
gmina Klucze,olkuski,małopolskie,"119,5",15 131,127
gmina Kluczewsko,włoszczowski,świętokrzyskie,"136,87",5210,38
gmina Kluki,bełchatowski,łódzkie,"118,54",4335,37
gmina Klukowo,wysokomazowiecki,podlaskie,"123,85",4469,36
gmina Klwów,przysuski,mazowieckie,"86,75",3458,40
gmina Kłaj,wielicki,małopolskie,"64,98",10 627,164
gmina Kłecko,gnieźnieński,wielkopolskie,"131,93",7592,58
gmina Kłobuck,kłobucki,śląskie,"130,01",20 519,158
gmina Kłoczew,rycki,lubelskie,"143,06",7267,51
gmina Kłodawa,gorzowski,lubuskie,"234,72",8407,36
gmina Kłodawa,kolski,wielkopolskie,"128,93",13 068,101
Kłodzko,kłodzki,dolnośląskie,"24,84",27 395,1103
gmina Kłodzko,kłodzki,dolnośląskie,"253,25",17 235,68
gmina Kłomnice,częstochowski,śląskie,"147,73",13 638,92
Knurów,gliwicki,śląskie,"33,95",38 652,1138
gmina Knyszyn,moniecki,podlaskie,"127,19",4842,38
gmina Kobiele Wielkie,radomszczański,łódzkie,"101,72",4451,44
gmina Kobierzyce,wrocławski,dolnośląskie,"149,26",19 765,132
gmina Kobiór,pszczyński,śląskie,"48,19",4912,102
gmina Kobyla Góra,ostrzeszowski,wielkopolskie,"129,21",6151,48
gmina Kobylanka,stargardzki,zachodniopomorskie,"121,68",5295,44
gmina Kobylin,krotoszyński,wielkopolskie,"112,1",8124,72
gmina Kobylin-Borzymy,wysokomazowiecki,podlaskie,"119,42",3314,28
gmina Kobylnica,słupski,pomorskie,"243,91",11 858,49
Kobyłka,wołomiński,mazowieckie,"19,64",22 459,1144
gmina Kochanowice,lubliniecki,śląskie,"80,02",6898,86
gmina Kocierzew Południowy,łowicki,łódzkie,"93,7",4317,46
gmina Kock,lubartowski,lubelskie,"101,07",6512,64
gmina Kocmyrzów-Luborzyca,krakowski,małopolskie,"80,76",15 107,187
gmina Koczała,człuchowski,pomorskie,"223,39",3411,15
gmina Kodeń,bialski,lubelskie,"151,04",3678,24
gmina Kodrąb,radomszczański,łódzkie,"105,83",4603,43
gmina Kolbudy,gdański,pomorskie,"82,66",16 359,198
gmina Kolbuszowa,kolbuszowski,podkarpackie,"170,84",24 827,145
Kolno,kolneński,podlaskie,"25,07",10 444,417
gmina Kolno,kolneński,podlaskie,"282,28",8721,31
gmina Kolno,olsztyński,warmińsko-mazurskie,"178,59",3270,18
gmina Kolonowskie,strzelecki,opolskie,"83,57",5923,71
gmina Kolsko,nowosolski,lubuskie,"80,7",3324,41
gmina Koluszki,łódzki wschodni,łódzkie,"157,2",23 609,150
