"","Kod","Nazwa","dochody_dzialalnosc_gosp_wzrost_2018","dochody_dzialalnosc_gosp_wzrost_2019","dochody_majatek_wzrost_2018","dochody_majatek_wzrost_2018.1","dochody_najm_dzierzawa_wzrost_2018","dochody_najm_dzierzawa_wzrost_2019","dochody_nieruchomosci_wzrost_2018","dochody_nieruchomosci_wzrost_2019","dochody_podatek_lesny_wzrost_2018","dochody_podatek_lesny_wzrost_2019","dochody_podatek_rolny_wzrost_2018","dochody_podatek_rolny_wzrost_2019","dochody_srodki_transportowe_wzrost_2018","dochody_srodki_transportowe_wzrost_2019","dochody_total_wzrost_2018","dochody_total_wzrost_2019","dochody_uslugi_wzrost_2018","dochody_uslugi_wzrost_2019","ludnosc_przed_prod_wzrost_2018","ludnosc_przed_prod_wzrost_2019","ludnosc_prod_wzrost_2018","ludnosc_prod_wzrost_2019","ludnosc_prod_mobil_wzrost_2018","ludnosc_prod_mobil_wzrost_2019","ludnosc_prod_niemobil_wzrost_2018","ludnosc_prod_niemobil_wzrost_2019","ludnosc_po_prod_wzrost_2018","ludnosc_po_prod_wzrost_2019","longitude","latitude","water","vegetation"
"1",201011,"Boleslawiec (1)",-0.0522989507860055,0.0551850721589696,-0.145341040197815,-0.145341040197815,-0.0709414720502974,0.0763584531179698,-0.0361398585545223,0.037494919647081,0.019088198726159,-0.0187306640877786,-0.344417637650563,0.525361354164959,-0.0337713461096368,0.0349517124892353,-0.0972216435443599,0.107691597665298,-0.0516279337573994,0.0544384799965129,-0.00452927855063086,0.00454988625284368,0.0127391402205717,-0.0125788959018579,0.0169405263923222,-0.016658325588046,0.00590946696607966,-0.00587475032311127,-0.0183293556085919,0.0186715938928328,15.5977543,51.3384419,6.73322033333333,0.0193893333333333
"2",201022,"Boleslawiec (2)",0.0182974748908613,-0.0179686931786042,-0.113162424418175,-0.113162424418175,0.0114323739938639,-0.0113031521313884,0.0526155093348724,-0.0499854969533169,0.0185111248069883,-0.0181746908365838,-0.0908616720561078,0.0999426261805512,-0.0107284509599099,0.0108447988525698,-0.0998821066911726,0.110965582879379,-0.308644131716322,0.446433082983072,0.00396539293439077,-0.00394973070017953,0.00286229195377929,-0.00285412262156448,0.00755105543161146,-0.00749446431613013,-0.00471436494731004,0.00473669545834494,-0.0445425361155698,0.0466190676186476,15.5977543,51.3384419,6.73322033333333,0.0193893333333333
"3",201032,"Gromadka (2)",0.892690538410038,-0.471651609332789,0.0578222831585481,0.0578222831585481,0.0101934169781234,-0.0100905596956034,-0.188724614423604,0.232627068168127,0.0217276617283721,-0.0212656097532069,-0.0676912221731634,0.072606011852584,-0.0190347617479656,0.0194041144433245,0.0519551843361661,-0.0493891613538197,-0.225577532355922,0.291284850040787,-0.00548245614035088,0.00551267916207277,0.0217910447761194,-0.0213263219398189,0.0354609929078014,-0.0342465753424658,-0.00161943319838057,0.0016220600162206,-0.0353488372093023,0.0366441658630665,15.741658,51.4262858,6.73322033333333,0.0193893333333333
"4",201043,"Nowogrodziec (3)",0.321669706401493,-0.243381311415015,-0.967526145428067,-0.967526145428067,-0.380505460823519,0.61421923319831,0.130545980363093,-0.115471624003445,0.0144409513856413,-0.0142353789699796,-0.0287965157701708,0.0296503423203909,-0.0887599757167444,0.0974057036032404,-0.187696259560635,0.231066595186565,-0.510039797926064,1.04098209562151,0.0124223602484472,-0.0122699386503067,0.00933706816059757,-0.00925069380203515,0.0128979591836735,-0.0127337201805287,0.00313033579965851,-0.00312056737588652,-0.0306313036981696,0.0315992292870906,15.3549853,51.2103221,39.1100051666667,0.0178586666666667
"5",201052,"Osiecznica (2)",-0.348019401778496,0.533787972721637,-0.157241962371783,-0.157241962371783,-0.0623231762651874,0.0664655184895699,0.101748415402777,-0.092351769224537,0.0179768879202969,-0.0176594263913234,-0.0343532761018809,0.0355754079123302,-0.0795987278191993,0.0864826355906679,-0.0888365977412744,0.0974979872117923,0.0188194278831932,-0.0184717991904556,0.0331529093369418,-0.0320890635232482,0.00474649406688242,-0.00472407129053038,0.0220146764509673,-0.0215404699738903,-0.0268784361637141,0.0276208411801632,-0.0396440129449838,0.0412805391743892,15.4476094,51.4017634,6.73322033333333,0.0193893333333333
"6",201062,"Warta Boleslawiecka (2)",0.509045953254205,-0.337329656632699,0.133471771064909,0.133471771064909,0.000719486857046038,-0.000718969567891324,-0.0428336959111734,0.0447505263486567,0.0104286866193087,-0.0103210516065226,-0.117075314369859,0.132599434895517,0.0296620521338981,-0.0288075607646467,-0.0698141878017571,0.075054023493188,-0.194185415117065,0.24098026861263,0.0153374233128834,-0.0151057401812689,0.00832716506291636,-0.0082583960359699,0.0115078194157569,-0.0113768961493582,0.00297766749379653,-0.00296882731321128,-0.0369211514392991,0.0383365821962313,15.7045412,51.2272195,6.73322033333333,0.0193893333333333
"7",202011,"Bielawa (1)",0.0638671615537405,-0.0600330227887331,-0.126713715099964,-0.126713715099964,-0.0309075640482225,0.0318933085241422,-0.0188272723363967,0.0191885402086427,0.0265561501629582,-0.0258691647395445,-0.0468750430717282,0.049180375281324,0.0819749973333334,-0.0757642251765256,-0.123965563337765,0.14150763731399,-0.0351190243706785,0.0363972606546346,0.0149659863945578,-0.014745308310992,0.019031339031339,-0.0186759114292105,0.0178387005914938,-0.0175260584816899,0.0208725902304682,-0.0204458327417294,-0.0274266936299292,0.0282001299545159,16.6266327,50.6898809,0.000117333333333333,0.004772
"8",202021,"Dzierzoniów (1)",-0.0670232192000037,0.0718380356074173,-0.0675763308265515,-0.0675763308265515,-0.055259690017965,0.0584919362856612,-0.0316158455642933,0.0326480409860861,NA,NA,-0.0302111781502743,0.0311523266401968,0.000695243074173521,-0.000694760047062588,-0.128488505349534,0.147431796526179,0.00994147642451658,-0.00984361634469382,0.00264335095567304,-0.00263638207260191,0.0232423009877978,-0.0227143668370244,0.0220014194464159,-0.0215277777777778,0.0250685468076772,-0.0244554833779136,-0.0264857881136951,0.0272063702720637,16.7075726,50.7206998,0.000117333333333333,0.004772
"9",202031,"Pieszyce (1)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.5411966,50.702352,0.000117333333333333,0.004772
"10",202033,"Pieszyce (3)",0.306097972996331,-0.23436065235911,0.58500096230639,0.58500096230639,-0.141520121202617,0.16484966590116,-0.0872580779137459,0.0955999453978186,0.0260024534006016,-0.0253434612309342,-0.0774172381755551,0.0839135971091193,-0.155086253957377,0.18355276462688,-0.106993092330715,0.119812166526195,-0.198288734124148,0.247331854452016,0.00833333333333333,-0.00826446280991736,0.0198744769874477,-0.0194871794871795,0.0253521126760563,-0.0247252747252747,0.0109789569990851,-0.0108597285067873,-0.021286660359508,0.0217496375060416,16.5411966,50.702352,0.000117333333333333,0.004772
